Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
3092,Not yet recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,5001-10k persons,Others Only,Observational,2021,2022,Others
3093,Recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",Phase 1,1-100 persons,Others & NIH,Interventional,2020,2021,United States of America
3094,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Industry Only,Interventional,2021,2021,Others
3095,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 2 & Phase 3,101-200 persons,Others Only,Interventional,2020,2030,Egypt
3096,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 2,901-1k persons,Industry Only,Interventional,2020,2021,China
3097,Recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",Not Applicable,1001-5k persons,Others & NIH,Interventional,2020,2021,United States of America
3098,Completed,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Peru
3099,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,United States of America
3100,Recruiting,No Results Available,Pneumonia & Covid-19,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others & Industry,Interventional,2020,2021,United States of America
3101,Recruiting,No Results Available,Other Acute Diseases & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2022,Italy
3102,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,501-600 persons,Others Only,Interventional,2020,2021,Sweden
3103,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Mexico
3104,Recruiting,No Results Available,Others,Biological,All,Adults & Older Adults,Phase 3,101-200 persons,Others Only,Interventional,2021,2021,Egypt
3105,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults Only,Phase 2,1-100 persons,Others Only,Interventional,2014,2022,Saudi Arabia
3106,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,601-700 persons,Others Only,Observational,2020,2020,France
3107,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,1001-5k persons,Others & NIH,Observational,2021,2022,United States of America
3108,Recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,Mexico
3109,"Active, not recruiting",No Results Available,Covid-19 Only,,All,Adults & Older Adults,,701-800 persons,Others Only,Observational,2020,2021,France
3110,Recruiting,No Results Available,Cancer & Covid-19,Others,All,Children & Adults,,201-300 persons,Others Only,Observational,2020,2023,France
3111,Enrolling by invitation,No Results Available,Others,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2022,Mexico
3112,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,10001-50k persons,Others Only,Observational,2020,2030,United States of America
3113,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Switzerland
3114,Completed,No Results Available,Cancer & Covid-19,Others,All,"Children, Adults & Older Adults",,601-700 persons,Others Only,Observational,2020,2020,United States of America
3115,Completed,No Results Available,Cancer & Covid-19,Biological,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,France
3116,Not yet recruiting,No Results Available,ARDS & Covid-19,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2021,2023,United States of America
3117,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Older Adults Only,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,France
3118,Enrolling by invitation,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,201-300 persons,Others & U.S. Fed,Observational,2020,2022,United States of America
3119,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others & Industry,Interventional,2021,2021,United States of America
3120,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults Only,Phase 3,501-600 persons,Industry Only,Interventional,2021,2021,United States of America
3121,Recruiting,No Results Available,ARDS & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Industry & Others,Interventional,2020,2021,United States of America
3122,Recruiting,No Results Available,Cancer & Covid-19,Biological,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2021,2023,United States of America
3123,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,"Children, Adults & Older Adults",,401-500 persons,Others Only,Observational,2020,2020,United States of America
3124,Completed,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Indonesia
3125,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,"Children, Adults & Older Adults",,10001-50k persons,Others Only,Observational,2020,2021,Austria
3126,Not yet recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,"Children, Adults & Older Adults",Phase 3,1-100 persons,Others Only,Interventional,2020,2020,Others
3127,Not yet recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2021,Others
3128,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Spain
3129,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,France
3130,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 2,1-100 persons,Industry & Others,Interventional,2020,2021,United States of America
3131,Suspended,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,601-700 persons,Others Only,Interventional,2020,2021,France
3132,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Others
3133,Enrolling by invitation,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Industry Only,Observational,2020,2021,United States of America
3134,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,United States of America
3135,Completed,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2,401-500 persons,Others Only,Interventional,2020,2020,Brazil
3136,Recruiting,No Results Available,Anxiety,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2023,Denmark
3137,Completed,No Results Available,Anxiety,Behavioral,All,"Children, Adults & Older Adults",Not Applicable,201-300 persons,Others Only,Interventional,2020,2021,United States of America
3138,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2022,Others
3139,Recruiting,No Results Available,Others,Diagnostic Test,All,Adults & Older Adults,Not Applicable,501-600 persons,Others Only,Interventional,2020,2024,France
3140,Withdrawn,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,0 persons,Others & Industry,Interventional,2020,2020,United States of America
3141,Not yet recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Phase 2,101-200 persons,Others & Industry,Interventional,2021,2022,United States of America
3142,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,301-400 persons,Industry Only,Interventional,2020,2021,Others
3143,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,301-400 persons,Others Only,Interventional,2021,2021,Russia
3144,Terminated,No Results Available,SARS-CoV-2 & Covid-19,Others,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Belgium
3145,"Active, not recruiting",No Results Available,Covid-19 Only,Device,All,Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Egypt
3146,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,France
3147,Completed,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
3148,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Hong Kong
3149,Not yet recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2021,2021,Spain
3150,Recruiting,No Results Available,Cardio Diseases & Covid-19,Others,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,Others
3151,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,701-800 persons,Others & NIH,Observational,2020,2021,United States of America
3152,Not yet recruiting,No Results Available,Others,Drug,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Others
3153,Completed,No Results Available,SARS-CoV-2 & Covid-19,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Germany
3154,Enrolling by invitation,No Results Available,Covid-19 Only,Behavioral,All,"Children, Adults & Older Adults",Not Applicable,1001-5k persons,Others & NIH,Interventional,2021,2021,United States of America
3155,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Italy
3156,Terminated,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Others
3157,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,Not Applicable,501-600 persons,Others Only,Interventional,2020,2021,France
3158,Withdrawn,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,0 persons,Others & Industry,Interventional,2020,2021,Others
3159,Completed,Has Results,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 2 & Phase 3,301-400 persons,Others Only,Interventional,2020,2020,Egypt
3160,Recruiting,No Results Available,Covid-19 Only,,All,Children & Adults,,1-100 persons,Others Only,Observational,2020,2022,France
3161,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,France
3162,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2022,Italy
3163,Enrolling by invitation,No Results Available,Infection Viral,Behavioral,All,Adults & Older Adults,,50001-100k persons,Others Only,Observational,2020,2021,Norway
3164,Recruiting,No Results Available,ARDS & Covid-19,Biological,All,Adults & Older Adults,Phase 1,1-100 persons,Industry Only,Interventional,2020,2025,United States of America
3165,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Drug,All,Adults & Older Adults,Phase 2,301-400 persons,Others Only,Interventional,2021,2021,Korea
3166,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2021,Canada
3167,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,1-100 persons,Industry Only,Observational,2021,2021,United States of America
3168,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,301-400 persons,Others Only,Interventional,2020,2021,Belgium
3169,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2021,India
3170,Recruiting,No Results Available,Others,Drug,All,Adults & Older Adults,Phase 4,701-800 persons,Others Only,Interventional,2020,2024,Denmark
3171,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,France
3172,Completed,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2020,United States of America
3173,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2021,2022,Israel
3174,Completed,No Results Available,Pneumonia & Covid-19,Procedural,All,Adults & Older Adults,,801-900 persons,Others Only,Observational,2020,2020,Mexico
3175,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,101-200 persons,Industry Only,Interventional,2020,2021,Japan
3176,Recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 3,401-500 persons,Others Only,Interventional,2021,2021,Russia
3177,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2020,Saudi Arabia
3178,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2022,Mexico
3179,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Drug,All,Adults & Older Adults,Phase 3,1001-5k persons,Others & Industry,Interventional,2020,2021,Brazil
3180,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,401-500 persons,Others Only,Interventional,2021,2021,Others
3181,Terminated,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2020,2020,United States of America
3182,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Austria
3183,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Industry Only,Interventional,2020,2021,United States of America
3184,Not yet recruiting,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2022,Others
3185,Completed,No Results Available,Pneumonia & Covid-19,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Mexico
3186,Recruiting,No Results Available,Covid-19 Only,Radiation,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,United States of America
3187,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 2 & Phase 3,201-300 persons,Others Only,Interventional,2020,2030,Egypt
3188,Enrolling by invitation,No Results Available,Mental Health,Others,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2021,United States of America
3189,"Active, not recruiting",No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
3190,Recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Russia
3191,Withdrawn,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,0 persons,Others & Industry,Interventional,2020,2020,United States of America
3192,Recruiting,No Results Available,Thrombosis & Covid-19,Drug,All,Adults & Older Adults,Phase 4,901-1k persons,Others Only,Interventional,2021,2021,Brazil
3193,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Others
3194,Not yet recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Industry Only,Interventional,2021,2022,Others
3195,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Spain
3196,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2020,United States of America
3197,Recruiting,No Results Available,Cancer & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2022,United States of America
3198,Recruiting,No Results Available,Covid-19 Only,,All,Children Only,,101-200 persons,Others Only,Observational,2020,2020,France
3199,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,Not Applicable,201-300 persons,Others Only,Interventional,2020,2022,France
3200,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,301-400 persons,Others Only,Interventional,2020,2022,Brazil
3201,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Spain
3202,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,10001-50k persons,Others & Industry,Observational,2020,2020,France
3203,Terminated,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others & Industry,Interventional,2020,2020,Switzerland
3204,Withdrawn,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,0 persons,Others Only,Interventional,2020,2020,Egypt
3205,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,United Kingdom
3206,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,601-700 persons,Others Only,Interventional,2020,2020,Brazil
3207,Completed,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2021,United States of America
3208,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",Not Applicable,1001-5k persons,Industry Only,Interventional,2020,2022,United Kingdom
3209,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2021,2021,Others
3210,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2022,Saudi Arabia
3211,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,Germany
3212,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Children Only,,1001-5k persons,Others Only,Observational,2020,2021,Belgium
3213,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Industry Only,Interventional,2020,2021,United States of America
3214,"Active, not recruiting",No Results Available,Other Acute Diseases & Covid-19,Device,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Germany
3215,Recruiting,No Results Available,Cancer & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others & Industry,Observational,2020,2021,United Kingdom
3216,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,901-1k persons,Others & Industry,Observational,2020,2023,France
3217,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2022,Others
3218,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2025,Norway
3219,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,5001-10k persons,Others & NIH,Interventional,2021,2021,United States of America
3220,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,10001-50k persons,Others Only,Observational,2020,2021,Argentina
3221,Not yet recruiting,No Results Available,Thrombosis & Covid-19,Drug,All,Adults & Older Adults,Phase 3,101-200 persons,Others Only,Interventional,2020,2021,Italy
3222,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others & Industry,Interventional,2020,2021,United States of America
3223,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2021,2022,Others
3224,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Others
3225,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,901-1k persons,Others Only,Interventional,2020,2022,India
3226,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,U.S. Fed Only,Interventional,2021,2021,United States of America
3227,Recruiting,No Results Available,Others,Others,All,Children & Adults,,101-200 persons,Others Only,Observational,2020,2021,Hong Kong
3228,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,Egypt
3229,Suspended,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,201-300 persons,Others Only,Interventional,2020,2021,China
3230,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1001-5k persons,Industry Only,Interventional,2020,2021,United States of America
3231,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
3232,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 3,10001-50k persons,"Industry, U.S. Fed & NIH",Interventional,2020,2022,United States of America
3233,"Active, not recruiting",No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Not Applicable,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
3234,Recruiting,No Results Available,Cancer & Covid-19,Biological,All,Adults & Older Adults,,601-700 persons,Others Only,Observational,2020,2021,France
3235,Enrolling by invitation,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,101-200 persons,Others Only,Interventional,2020,2020,China
3236,Completed,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2020,France
3237,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,401-500 persons,Others Only,Observational,2020,2021,Egypt
3238,Completed,No Results Available,Other Acute Diseases & Covid-19,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,China
3239,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2021,2021,Others
3240,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Norway
3241,Recruiting,No Results Available,Pneumonia & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Belgium
3242,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
3243,Withdrawn,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,0 persons,Others Only,Interventional,2020,2021,Others
3244,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2024,Austria
3245,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,101-200 persons,Others Only,Interventional,2020,2021,Germany
3246,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Germany
3247,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others & Industry,Interventional,2020,2021,Belgium
3248,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,201-300 persons,Industry Only,Interventional,2020,2021,United States of America
3249,"Active, not recruiting",No Results Available,Covid-19 Only,,All,Adults & Older Adults,,201-300 persons,Industry & U.S. Fed,Observational,2020,2020,United States of America
3250,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 3,1001-5k persons,Others Only,Interventional,2020,2022,Others
3251,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,1001-5k persons,Industry Only,Interventional,2021,2022,Others
3252,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,201-300 persons,Industry Only,Interventional,2020,2021,United States of America
3253,Not yet recruiting,No Results Available,ARDS & Covid-19,Procedural,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Others
3254,"Active, not recruiting",No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,301-400 persons,Others Only,Interventional,2020,2021,United States of America
3255,Not yet recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,France
3256,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 2,601-700 persons,Industry & U.S. Fed,Interventional,2020,2021,United States of America
3257,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,United Kingdom
3258,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2020,2020,China
3259,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 3,201-300 persons,Others Only,Interventional,2020,2021,France
3260,Recruiting,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2021,Germany
3261,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
3262,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,Canada
3263,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,France
3264,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2022,Brazil
3265,Recruiting,No Results Available,ARDS & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Brazil
3266,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Germany
3267,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,5001-10k persons,Others & NIH,Interventional,2020,2021,United States of America
3268,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults Only,Phase 1 & Phase 2,101-200 persons,Others & Industry,Interventional,2020,2022,Korea
3269,Not yet recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Phase 3,101-200 persons,Others Only,Interventional,2021,2021,Canada
3270,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,501-600 persons,Others Only,Interventional,2020,2021,United States of America
3271,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Others
3272,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2021,United States of America
3273,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,201-300 persons,Others & Industry,Observational,2021,2030,Others
3274,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2022,Hong Kong
3275,Not yet recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,701-800 persons,Others Only,Observational,2020,2021,Others
3276,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Sweden
